City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Khatanga,RU,2022-07-20 19:28:35,71.9667,102.5,46.54,62,100,21.65
132,Margate,GB,2022-07-20 19:28:36,51.3813,1.3862,74.88,68,20,4.0
133,Ihosy,MG,2022-07-20 19:28:36,-22.4,46.1167,57.02,96,44,6.44
134,Minas,UY,2022-07-20 19:28:36,-34.3759,-55.2377,63.12,76,3,12.37
135,Geraldton,AU,2022-07-20 19:28:37,-28.7667,114.6,66.61,94,75,14.97
136,Demidov,RU,2022-07-20 19:28:37,55.2706,31.515,60.4,63,100,10.31
137,Xiamen,CN,2022-07-20 19:28:38,24.4798,118.0819,83.25,89,0,4.47
138,Erdenet,MN,2022-07-20 19:28:38,49.0333,104.0833,52.36,85,100,3.02
139,Anadyr,RU,2022-07-20 19:28:38,64.75,177.4833,41.5,80,40,6.71
140,Bogatoye,RU,2022-07-20 19:28:39,53.0601,51.3325,63.36,64,78,6.46
141,Tieling,CN,2022-07-20 19:28:41,42.2931,123.8414,68.38,90,100,4.0
142,Thompson,CA,2022-07-20 19:28:41,55.7435,-97.8558,71.76,60,40,12.66
143,Toora-Khem,RU,2022-07-20 19:28:42,52.4675,96.11,46.44,84,6,0.76
144,Neiafu,TO,2022-07-20 19:28:43,-18.65,-173.9833,77.68,73,40,10.36
145,San Patricio,US,2022-07-20 19:28:43,28.017,-97.5169,95.72,43,0,20.09
146,Kutum,SD,2022-07-20 19:28:44,14.2,24.6667,77.92,55,99,8.05
147,Nyurba,RU,2022-07-20 19:28:44,63.2842,118.3319,55.89,97,100,4.18
148,Niquero,CU,2022-07-20 19:28:45,20.0431,-77.5828,84.65,68,99,2.44
149,Champerico,GT,2022-07-20 19:28:45,14.3,-91.9167,93.74,73,100,7.43
150,Bilma,NE,2022-07-20 19:28:46,18.6853,12.9164,97.52,13,92,7.2
151,Comodoro Rivadavia,AR,2022-07-20 19:28:46,-45.8667,-67.5,48.06,31,0,29.93
152,Cheyenne,US,2022-07-20 19:28:28,41.14,-104.8203,91.54,14,0,13.8
153,Cockburn Town,TC,2022-07-20 19:25:08,21.4612,-71.1419,82.13,77,0,19.62
154,Bilaspur,IN,2022-07-20 19:28:47,22.0833,82.15,78.78,85,100,7.11
155,New Norfolk,AU,2022-07-20 19:28:47,-42.7826,147.0587,33.71,89,6,2.35
156,Jalu,LY,2022-07-20 19:28:47,29.0331,21.5482,84.09,32,0,14.32
157,Kandrian,PG,2022-07-20 19:28:48,-6.2167,149.55,75.94,92,100,4.52
158,Gat,IL,2022-07-20 19:24:05,31.61,34.7642,81.81,100,0,6.35
159,Aklavik,CA,2022-07-20 19:28:48,68.2191,-135.0107,62.6,67,75,2.3
160,Saint-Georges,GD,2022-07-20 19:28:49,12.0564,-61.7485,83.88,79,20,12.66
161,Evensk,RU,2022-07-20 19:28:49,61.95,159.2333,57.72,77,10,5.08
162,Presidencia Roque Saenz Pena,AR,2022-07-20 19:28:50,-26.7852,-60.4388,86.85,40,39,12.12
