City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Leh,IN,2022-07-24 15:57:08,overcast clouds,34.1667,77.5833,66.97,51,86,3.69
126,Tuatapere,NZ,2022-07-24 15:57:08,broken clouds,-46.1333,167.6833,41.13,92,51,2.39
127,Coquimbo,CL,2022-07-24 15:54:53,overcast clouds,-29.9533,-71.3436,55.13,82,100,2.3
128,Oyama,JP,2022-07-24 15:57:08,overcast clouds,36.3,139.8,84.58,77,92,3.8
129,Henties Bay,NA,2022-07-24 15:57:09,few clouds,-22.116,14.2845,58.39,81,21,6.46
130,Fonte Boa,BR,2022-07-24 15:57:09,broken clouds,-2.4959,-66.2662,80.06,92,84,2.17
131,Claveria,PH,2022-07-24 15:57:09,few clouds,18.6074,121.0832,81.55,85,21,7.67
132,Shenjiamen,CN,2022-07-24 15:57:10,clear sky,29.9576,122.298,77.14,91,5,5.53
133,Volodarka,UA,2022-07-24 15:57:10,overcast clouds,49.5248,29.9122,73.06,61,100,4.0
134,Port Hedland,AU,2022-07-24 15:57:11,clear sky,-20.3167,118.5667,59.05,77,0,4.61
135,Kloulklubed,PW,2022-07-24 15:57:11,overcast clouds,7.0419,134.2556,73.9,73,95,6.42
136,Port Elizabeth,ZA,2022-07-24 15:56:04,broken clouds,-33.918,25.5701,56.1,95,75,11.5
137,Kruisfontein,ZA,2022-07-24 15:57:12,scattered clouds,-34.0033,24.7314,53.89,84,48,6.51
138,Vao,NC,2022-07-24 15:57:12,broken clouds,-22.6667,167.4833,72.18,79,68,12.77
139,Castleblayney,IE,2022-07-24 15:58:13,broken clouds,54.1167,-6.7333,62.82,90,69,13.35
140,Pevek,RU,2022-07-24 15:58:13,broken clouds,69.7008,170.3133,35.78,89,69,2.19
141,Ponta Do Sol,PT,2022-07-24 15:58:13,clear sky,32.6667,-17.1,90.12,33,5,1.9
142,Praia Da Vitoria,PT,2022-07-24 15:58:14,broken clouds,38.7333,-27.0667,79.75,83,75,2.66
143,Sechura,PE,2022-07-24 15:58:14,few clouds,-5.5569,-80.8222,73.83,63,23,11.83
144,Kolokani,ML,2022-07-24 15:58:15,overcast clouds,13.5728,-8.0339,91.83,42,98,7.31
145,Klaeng,TH,2022-07-24 15:58:15,broken clouds,12.7797,101.6483,84.94,100,51,2.68
146,Kranuan,TH,2022-07-24 15:58:15,broken clouds,16.7067,103.0788,85.51,74,75,1.34
147,Richards Bay,ZA,2022-07-24 15:58:16,light rain,-28.783,32.0377,62.91,62,10,19.86
148,East London,ZA,2022-07-24 15:58:16,few clouds,-33.0153,27.9116,56.34,88,20,11.5
149,Charlestown,AU,2022-07-24 15:58:17,clear sky,-32.95,151.6667,54.68,95,1,1.01
150,Usinsk,RU,2022-07-24 15:58:17,overcast clouds,65.9939,57.5281,54.64,63,100,13.06
151,Varadero,CU,2022-07-24 15:56:08,scattered clouds,23.1536,-81.2514,84.92,69,49,16.04
152,Saint George,US,2022-07-24 15:54:31,few clouds,37.1041,-113.5841,90.19,36,20,5.75
153,Oshakati,NA,2022-07-24 15:58:18,clear sky,-17.7833,15.6833,79.97,20,0,3.67
154,Arraial Do Cabo,BR,2022-07-24 15:54:52,clear sky,-22.9661,-42.0278,80.56,54,0,18.41
155,Mount Isa,AU,2022-07-24 15:58:18,light rain,-20.7333,139.5,51.57,71,0,0.0
156,Mogadishu,SO,2022-07-24 15:58:18,few clouds,2.0371,45.3438,75.92,83,24,19.73
157,Halifax,CA,2022-07-24 15:54:25,scattered clouds,44.6453,-63.5724,88.52,70,43,5.01
158,Goderich,CA,2022-07-24 15:56:44,overcast clouds,43.7501,-81.7165,70.92,94,100,13.8
159,Fairbanks,US,2022-07-24 15:58:19,scattered clouds,64.8378,-147.7164,55.31,78,40,4.61
160,Den Helder,NL,2022-07-24 15:58:20,broken clouds,52.9599,4.7593,84.97,47,54,19.57
161,Teknaf,BD,2022-07-24 15:58:20,overcast clouds,20.8624,92.3058,79.93,86,100,5.86
162,Graaff-Reinet,ZA,2022-07-24 15:58:20,scattered clouds,-32.2522,24.5308,46.92,69,32,6.22
163,Hamilton,US,2022-07-24 15:55:27,overcast clouds,39.1834,-84.5333,88.65,70,92,3.0
164,Buraydah,SA,2022-07-24 15:58:21,broken clouds,26.326,43.975,113.45,8,51,5.35
165,Waterford,US,2022-07-24 15:58:21,overcast clouds,42.7023,-83.4027,78.78,95,100,11.36
166,Qaanaaq,GL,2022-07-24 15:58:22,overcast clouds,77.484,-69.3632,39.09,92,100,1.45
167,Ankazoabo,MG,2022-07-24 15:58:22,clear sky,-22.2833,44.5167,68.9,57,1,8.23
168,Lakota,CI,2022-07-24 15:58:23,light rain,5.8528,-5.6883,73.53,87,100,3.65
169,Pitimbu,BR,2022-07-24 15:58:23,overcast clouds,-7.4706,-34.8086,81.19,72,97,19.39
170,Half Moon Bay,US,2022-07-24 15:58:24,mist,37.4636,-122.4286,64.81,86,100,6.91
